,SiteName2.x,CoreName_2,compaction factor,
84,Port l'Hebert,NS-PLH-1-SG-1-25.1-30,,
85,Port l'Hebert,NS-PLH-1-SG-1-30.1-35,,
86,Port l'Hebert,NS-PLH-1-SG-1-35.1-40,,
87,Port l'Hebert,NS-PLH-1-SG-1-40.1-42,,
88,Port l'Hebert,NS-PLH-1-SG-1-5.1-10,,
89,Port l'Hebert,NS-PLH-2-SG-2-0-2,,
90,Port l'Hebert,NS-PLH-2-SG-2-10.1-15,,
91,Port l'Hebert,NS-PLH-2-SG-2-15.1-20,,
92,Port l'Hebert,NS-PLH-2-SG-2-2.1-5,,
93,Port l'Hebert,NS-PLH-2-SG-2-20.1-25,,
94,Port l'Hebert,NS-PLH-2-SG-2-25.1-30,,
95,Port l'Hebert,NS-PLH-2-SG-2-30.1-35,,
96,Port l'Hebert,NS-PLH-2-SG-2-35.1-40,,
97,Port l'Hebert,NS-PLH-2-SG-2-40.1-45,,
98,Port l'Hebert,NS-PLH-2-SG-2-45.1-50,,
99,Port l'Hebert,NS-PLH-2-SG-2-5.1-10,,
100,Port l'Hebert,NS-PLH-2-SG-2-50.1-55,,
101,Port l'Hebert,NS-PLH-4-SG-4-0-2,,
102,Port l'Hebert,NS-PLH-4-SG-4-10.1-15,,
103,Port l'Hebert,NS-PLH-4-SG-4-15.1-20,,
104,Port l'Hebert,NS-PLH-4-SG-4-2.1-5,,
105,Port l'Hebert,NS-PLH-4-SG-4-20.1-25,,
106,Port l'Hebert,NS-PLH-4-SG-4-25.1-30,,
107,Port l'Hebert,NS-PLH-4-SG-4-30.1-35,,
108,Port l'Hebert,NS-PLH-4-SG-4-35.1-40,,
109,Port l'Hebert,NS-PLH-4-SG-4-40.1-45,,
110,Port l'Hebert,NS-PLH-4-SG-4-45.1-51.5,,
111,Port l'Hebert,NS-PLH-4-SG-4-5.1-10,,
112,Port l'Hebert,NS-PLH-5-SG-5-0-2,,
113,Port l'Hebert,NS-PLH-5-SG-5-10.1-15,,
114,Port l'Hebert,NS-PLH-5-SG-5-15.1-20,,
115,Port l'Hebert,NS-PLH-5-SG-5-2.1-5,,
116,Port l'Hebert,NS-PLH-5-SG-5-20.1-25,,
117,Port l'Hebert,NS-PLH-5-SG-5-25.1-30,,
118,Port l'Hebert,NS-PLH-5-SG-5-30.1-35,,
119,Port l'Hebert,NS-PLH-5-SG-5-35.1-40,,
120,Port l'Hebert,NS-PLH-5-SG-5-40.1-45,,
121,Port l'Hebert,NS-PLH-5-SG-5-45.1-50,,
122,Port l'Hebert,NS-PLH-5-SG-5-5.1-10,,
131,Sambro Deep,NS-SAd-1-SG-1,,
132,Sambro Deep,NS-SAd-2-SG-2,,
133,Sambro Deep,NS-SAd-3-SG-3,,
134,Sambro Deep,NS-SAd-4-BA-4,,
135,Sambro Deep,NS-SAd-5-BA-5,,
136,Sambro Shallow,NS-SAs-1-SG-1,,
137,Sambro Shallow,NS-SAs-2-SG-2,,
138,Sambro Shallow,NS-SAs-3-SG-3,,
139,Sambro Shallow,NS-SAs-4-BA-4,,
140,Sambro Shallow,NS-SAs-5-BA-5,,
126,Sacrifice Shallow,NS-SCs-1-BA-1,,
127,Sacrifice Shallow,NS-SCs-2-BA-2,,
128,Sacrifice Shallow,NS-SCs-3-BA-3,,
129,Sacrifice Shallow,NS-SCs-4-BA-4,,
130,Sacrifice Shallow,NS-SCs-5-SG-5,,
156,Taylor's Head,NS-TH-1-BA-1-20.1-25,,
157,Taylor's Head,NS-TH-1-BA-1-25.1-30,,
158,Taylor's Head,NS-TH-1-BA-1-30.1-35,,
159,Taylor's Head,NS-TH-1-BA-1-35.1-40,,
160,Taylor's Head,NS-TH-1-BA-1-40.1-45,,
161,Taylor's Head,NS-TH-1-BA-1-45.1-48.5,,
162,Taylor's Head,NS-TH-1-BA-1-5.1-10,,
163,Taylor's Head,NS-TH-2-SG-2-0-2,,
164,Taylor's Head,NS-TH-2-SG-2-10.1-15,,
165,Taylor's Head,NS-TH-2-SG-2-15.1-20,,
166,Taylor's Head,NS-TH-2-SG-2-2.1-5,,
167,Taylor's Head,NS-TH-2-SG-2-25.1-30,,
168,Taylor's Head,NS-TH-2-SG-2-35.1-40,,
169,Taylor's Head,NS-TH-2-SG-2-40.1-45,,
170,Taylor's Head,NS-TH-2-SG-2-45.1-48,,
171,Taylor's Head,NS-TH-2-SG-2-5.1-10,,
172,Taylor's Head,NS-TH-3-SG-3-0-2,,
173,Taylor's Head,NS-TH-3-SG-3-10.1-15,,
