"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","c_100","c_60","c_25"
"18","Fulmore","BC-FUL-5-BA-5",0.009561641,"BA",58527.17962,13.6457473794046,5.07901585803345,1.44665405603874
"19","Mason's Island Shallow","NS-MAs-3-SG-3",0.003733477,"SG",12230.32955,31.9997069984274,21.0249736845519,9.50925376017309
"20","Mason's Island Shallow","NS-MAs-4-BA-4",0.003733477,"BA",12230.32955,61.4946502259446,40.7137635843546,18.5465323500774
"21","Mason's Island Shallow","NS-MAs-5-BA-5",0.003733477,"BA",12230.32955,68.227068092715,44.6194458913538,20.0931312085052
"22","Parksville","BC-PAR-1-SG-1",0.098275402,"SG",37982.6795,1.17195568124028,0.861287378735266,0.435217646473112
"23","Parksville","BC-PAR-2-SG-2",0.098275402,"SG",37982.6795,1.05224179888125,0.692431333441116,0.313629127454448
"24","Parksville","BC-PAR-3-SG-3",0.098275402,"SG",37982.6795,1.2543700058335,0.858534939052251,0.403715773994694
"25","Parksville","BC-PAR-4-BA-4",0.098275402,"BA",37982.6795,1.22046236700646,0.633224718165073,0.233462128755878
"26","Parksville","BC-PAR-5-BA-5",0.098275402,"BA",37982.6795,1.15158114796467,0.634955462231353,0.246138287602583
"27","Port Joli","NS-PJO-1-SG-1",0.029998959,"SG",23599.85735,6.82634643145311,4.64860413387885,2.17525476992267
"28","Port Joli","NS-PJO-2-SG-2",0.029998959,"SG",23599.85735,4.95679233196917,3.87602410179158,2.09769616573087
"29","Port Joli","NS-PJO-3-SG-3",0.029998959,"SG",23599.85735,6.80352903801376,4.14553294590419,1.75087829650689
"30","Port Joli","NS-PJO-4-BA-4",0.029998959,"BA",23599.85735,7.70217865861085,2.70507111691495,0.737694071944337
"31","Port Joli","NS-PJO-5-BA-5",0.029998959,"BA",23599.85735,22.1911576715439,4.71808516111762,0.888889156718929
"32","Port l'Hebert","NS-PLH-1-SG-1",0.025576715,"SG",27198.60056,13.8382787670363,10.0034525220112,4.96847681653333
"33","Port l'Hebert","NS-PLH-2-SG-2",0.025576715,"SG",27198.60056,16.1515873317951,11.7697911785105,5.89469584957212
"34","Port l'Hebert","NS-PLH-4-SG-4",0.025576715,"SG",27198.60056,12.9713722890124,10.1170728161817,5.45902597847528
"35","Port l'Hebert","NS-PLH-5-SG-5",0.025576715,"SG",27198.60056,14.2951295505775,10.9925884152383,5.83606617994187
"36","Roberts Bank North","BC-RBN-1-BA-1",0.3334105,"BA",8436.399749,11.0289995261998,4.7301153528362,1.5005032396343
"37","Roberts Bank North","BC-RBN-2-BA-2",0.3334105,"BA",8436.399749,21.3144210309307,15.6386485033342,7.88874275352788
"38","Roberts Bank North","BC-RBN-3-BA-3",0.3334105,"BA",8436.399749,11.8689814631246,7.87855299756038,3.59776108993921
"39","Sacrifice Shallow","NS-SCs-1-BA-1",0.01492786,"BA",14864.16694,36.2709932872666,12.4182736832893,3.32284664798122
"40","Sacrifice Shallow","NS-SCs-2-BA-2",0.01492786,"BA",14864.16694,22.8651356291523,15.6126142459845,7.32476005505151
"41","Sacrifice Shallow","NS-SCs-3-BA-3",0.01492786,"BA",14864.16694,37.06759596007,11.8340564256171,3.0063608931933
"42","Sacrifice Shallow","NS-SCs-4-BA-4",0.01492786,"BA",14864.16694,40.3980406010206,17.3044115297723,5.48412149606331
"43","Sacrifice Shallow","NS-SCs-5-SG-5",0.01492786,"SG",14864.16694,25.543211974277,14.5121118153812,5.7691886694378
"44","Sambro Deep","NS-SAd-1-SG-1",0.327026712,"SG",23533.52887,15.354753399689,4.62312276813624,1.1247008955611
"45","Sambro Deep","NS-SAd-2-SG-2",0.327026712,"SG",23533.52887,7.93142935638229,5.56394591642579,2.68058414260083
"46","Sambro Deep","NS-SAd-3-SG-3",0.327026712,"SG",23533.52887,10.1523210887571,4.21945380930706,1.3066235635473
"47","Sambro Deep","NS-SAd-4-BA-4",0.327026712,"BA",23533.52887,9.27929662044807,5.35976859128353,2.16094187981902
"48","Sambro Deep","NS-SAd-5-BA-5",0.327026712,"BA",23533.52887,5.83188202013871,3.53729794727111,1.48798066174624
"49","Sambro Shallow","NS-SAs-1-SG-1",0.184812561,"SG",23558.20146,3.11382277571957,2.52781328367991,1.43127499018045
"50","Sambro Shallow","NS-SAs-2-SG-2",0.184812561,"SG",23558.20146,6.95653506446251,3.26736843300221,1.11244148803113
"51","Sambro Shallow","NS-SAs-3-SG-3",0.184812561,"SG",23558.20146,8.05767036492608,2.92116235299332,0.815754109892202
"52","Sambro Shallow","NS-SAs-4-BA-4",0.184812561,"BA",23558.20146,3.4562905292008,3.09645212495645,2.0217937312018
"53","Sambro Shallow","NS-SAs-5-BA-5",0.184812561,"BA",23558.20146,4.93918054483166,1.7038766611414,0.458491873957148
"54","Sandy Island Exposed","BC-SIE-1-SG-1",0.457362703,"SG",32635.46911,0.828488252515216,0.621363048798888,0.320884003634085
"55","Sandy Island Exposed","BC-SIE-3-SG-3",0.457362703,"SG",32635.46911,1.08831417277082,0.953247223654405,0.599830142683547
"56","Sandy Island Exposed","BC-SIE-4-BA-4",0.457362703,"BA",32635.46911,0.564788268563862,0.432855741765688,0.228941799541099
"57","Sandy Island Exposed","BC-SIE-5-BA-5",0.457362703,"BA",32635.46911,0.516071289740494,0.399284380554411,0.213463574412112
"58","Sooke","BC-SOO-1-SG-1",0.115469351,"SG",31277.59156,3.75051023742341,3.21448370550342,1.95773068786427
"59","Sooke","BC-SOO-2-SG-2",0.115469351,"SG",31277.59156,2.96166625535762,2.28504144181151,1.21773400623047
"60","Sooke","BC-SOO-3-SG-3",0.115469351,"SG",31277.59156,4.02418973296151,2.49875656311919,1.07322685082266
"61","Sooke","BC-SOO-4-SG-4",0.115469351,"SG",31277.59156,3.38477225080519,2.26865860500997,1.0455448026992
"62","Sooke","BC-SOO-5-SG-5",0.115469351,"SG",31277.59156,3.29554088958134,2.37548148343403,1.17636834835684
"63","Sooke","BC-SOO-7-BA-7",0.115469351,"BA",31277.59156,2.75341428054114,1.85957169329286,0.863259322705545
"64","TFN Intercauseway","BC-TFN-1-SG-1",0.066903857,"SG",7931.438082,5.22233497964776,4.26087245066792,2.42789159294352
"65","TFN Intercauseway","BC-TFN-2-SG-2",0.066903857,"SG",7931.438082,4.44431734992075,3.51224038616628,1.92457619679061
"66","TFN Intercauseway","BC-TFN-3-SG-3",0.066903857,"SG",7931.438082,3.70829824868388,3.16808232896627,1.92052965619071
"67","TFN Intercauseway","BC-TFN-4-BA-4",0.066903857,"BA",7931.438082,5.53501072906694,4.83109318441776,3.02343882384363
"68","TFN Intercauseway","BC-TFN-5-BA-5",0.066903857,"BA",7931.438082,4.96532023830252,4.22881148655648,2.55219912743431
"69","Taylor's Head","NS-TH-1-BA-1",0.686227353,"BA",18787.93701,0.472454545689459,0.316853158907655,0.14610919928622
"70","Taylor's Head","NS-TH-2-SG-2",0.686227353,"SG",18787.93701,0.429516260415625,0.406534718375617,0.29679593288179
