,X,X.x,Site,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Core.Number,Type,Coast,Percent.Silt.Fraction,SiteName2.x,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,SiteCode,Watercourse_NEAR_DIST.x,REI_SUM,X.y,REI_Scaled,Elevation,Watercourse_NEAR_DIST.y,REI_Raw
290,290,290,Sambro Deep,NS-SAd-1-SG-1,5,10.8,26,56.2,0.2,30.2,NS,Atlantic,0.849,Christensen,88.8,0,1,SG,Atlantic,11.1,Sambro Deep,41.1,45,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
291,291,291,Sambro Deep,NS-SAd-2-SG-2,0,2,0,2.2,0.9,2.2,NS,Atlantic,1.06,Christensen,95.2,0,2,SG,Atlantic,4.7,Sambro Deep,1.1,5,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
292,292,292,Sambro Deep,NS-SAd-2-SG-2,10,20,11.2,22.5,0.9,11.3,NS,Atlantic,0.744,Christensen,89.2,0,2,SG,Atlantic,10.8,Sambro Deep,16.85,20,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
293,293,293,Sambro Deep,NS-SAd-2-SG-2,2,5,2.2,5.6,0.9,3.4,NS,Atlantic,1.002,Christensen,92.1,0,2,SG,Atlantic,7.9,Sambro Deep,3.9,5,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
294,294,294,Sambro Deep,NS-SAd-2-SG-2,30,40,33.7,44.9,0.9,11.2,NS,Atlantic,0.416,Christensen,92.6,0,2,SG,Atlantic,7.4,Sambro Deep,39.3,40,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
295,295,295,Sambro Deep,NS-SAd-2-SG-2,40,48.5,44.9,54.5,0.9,9.6,NS,Atlantic,0.676,Christensen,90.6,0,2,SG,Atlantic,9.3,Sambro Deep,49.7,50,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
296,296,296,Sambro Deep,NS-SAd-2-SG-2,5,10,5.6,11.2,0.9,5.6,NS,Atlantic,0.715,Christensen,86.8,0,2,SG,Atlantic,13.2,Sambro Deep,8.4,10,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
297,297,297,Sambro Deep,NS-SAd-3-SG-3,0,2,0,2.5,0.8,2.5,NS,Atlantic,0.083,Christensen,94.6,0,3,SG,Atlantic,5.4,Sambro Deep,1.25,5,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
298,298,298,Sambro Deep,NS-SAd-3-SG-3,10,20,12.3,24.7,0.8,12.4,NS,Atlantic,0.357,Christensen,88.7,0,3,SG,Atlantic,11.2,Sambro Deep,18.5,20,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
299,299,299,Sambro Deep,NS-SAd-3-SG-3,2,5,2.5,6.2,0.8,3.7,NS,Atlantic,0.384,Christensen,94.1,0,3,SG,Atlantic,5.8,Sambro Deep,4.35,5,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
300,300,300,Sambro Deep,NS-SAd-3-SG-3,39.3,46.7,48.5,57.6,0.8,9.1,NS,Atlantic,0.396,Christensen,94,0,3,SG,Atlantic,6,Sambro Deep,53.05,55,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
301,301,301,Sambro Deep,NS-SAd-3-SG-3,5,10,6.2,12.3,0.8,6.1,NS,Atlantic,0.72,Christensen,91.9,0,3,SG,Atlantic,8.1,Sambro Deep,9.25,10,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
302,302,302,Sambro Deep,NS-SAd-4-BA-4,0,2,0,3.1,0.6,3.1,NS,Atlantic,0.785,Christensen,89.9,0,4,BA,Atlantic,10.1,Sambro Deep,1.55,5,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
303,303,303,Sambro Deep,NS-SAd-4-BA-4,10,20,15.5,30.9,0.6,15.4,NS,Atlantic,0.808,Christensen,90.4,0,4,BA,Atlantic,9.7,Sambro Deep,23.2,25,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
304,304,304,Sambro Deep,NS-SAd-4-BA-4,2,5,3.1,7.7,0.6,4.6,NS,Atlantic,0.864,Christensen,85.7,0,4,BA,Atlantic,14.2,Sambro Deep,5.4,10,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
305,305,305,Sambro Deep,NS-SAd-4-BA-4,20,28.5,30.9,44.1,0.6,13.2,NS,Atlantic,0.758,Christensen,91.2,0,4,BA,Atlantic,8.9,Sambro Deep,37.5,40,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
306,306,306,Sambro Deep,NS-SAd-4-BA-4,5,10,7.7,15.5,0.6,7.8,NS,Atlantic,1.106,Christensen,83.8,0,4,BA,Atlantic,16.2,Sambro Deep,11.6,15,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
307,307,307,Sambro Deep,NS-SAd-5-BA-5,0,2,0,2.7,0.7,2.7,NS,Atlantic,0.65,Christensen,96,0,5,BA,Atlantic,4.1,Sambro Deep,1.35,5,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
308,308,308,Sambro Deep,NS-SAd-5-BA-5,10,20,13.6,27.2,0.7,13.6,NS,Atlantic,0.793,Christensen,96.5,0,5,BA,Atlantic,3.5,Sambro Deep,20.4,25,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
309,309,309,Sambro Deep,NS-SAd-5-BA-5,2,5,2.7,6.8,0.7,4.1,NS,Atlantic,0.252,Christensen,100,0,5,BA,Atlantic,0,Sambro Deep,4.75,5,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
310,310,310,Sambro Deep,NS-SAd-5-BA-5,20,28.7,27.2,39.1,0.7,11.9,NS,Atlantic,0.502,Christensen,97.3,0,5,BA,Atlantic,2.7,Sambro Deep,33.15,35,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
311,311,311,Sambro Deep,NS-SAd-5-BA-5,5,10,6.8,13.6,0.7,6.8,NS,Atlantic,0.562,Christensen,95.4,0,5,BA,Atlantic,4.5,Sambro Deep,10.2,15,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
312,312,312,Sambro Shallow,NS-SAs-1-SG-1,0,2,0,2.6,0.8,2.6,NS,Atlantic,0.799,Christensen,94.6,0,1,SG,Atlantic,5.4,Sambro Shallow,1.3,5,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
313,313,313,Sambro Shallow,NS-SAs-1-SG-1,10,20,12.8,25.6,0.8,12.8,NS,Atlantic,0.155,Christensen,99.5,0,1,SG,Atlantic,0.5,Sambro Shallow,19.2,20,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
314,314,314,Sambro Shallow,NS-SAs-1-SG-1,2,5,2.6,6.4,0.8,3.8,NS,Atlantic,1.288,Christensen,92.9,0,1,SG,Atlantic,7,Sambro Shallow,4.5,5,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
315,315,315,Sambro Shallow,NS-SAs-1-SG-1,20,30,25.6,38.4,0.8,12.8,NS,Atlantic,0.244,Christensen,98.8,0,1,SG,Atlantic,1.3,Sambro Shallow,32,35,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
316,316,316,Sambro Shallow,NS-SAs-1-SG-1,30,35,38.4,44.8,0.8,6.4,NS,Atlantic,0.245,Christensen,98.5,0,1,SG,Atlantic,1.5,Sambro Shallow,41.6,45,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
317,317,317,Sambro Shallow,NS-SAs-1-SG-1,5,10,6.4,12.8,0.8,6.4,NS,Atlantic,0.555,Christensen,98.9,0,1,SG,Atlantic,1.2,Sambro Shallow,9.6,10,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
318,318,318,Sambro Shallow,NS-SAs-2-SG-2,0,3.5,0,42.3,0.1,42.3,NS,Atlantic,1.427,Christensen,91.9,0,2,SG,Atlantic,8.1,Sambro Shallow,21.15,25,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
319,319,319,Sambro Shallow,NS-SAs-3-SG-3,0,5.6,0,49.6,0.1,49.6,NS,Atlantic,0.633,Christensen,94.2,0,3,SG,Atlantic,5.8,Sambro Shallow,24.8,25,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
320,320,320,Sambro Shallow,NS-SAs-4-BA-4,0,2,0,2.3,0.9,2.3,NS,Atlantic,1.535,Christensen,88.5,0,4,BA,Atlantic,11.5,Sambro Shallow,1.15,5,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
321,321,321,Sambro Shallow,NS-SAs-4-BA-4,10,16.5,11.5,19,0.9,7.5,NS,Atlantic,0.568,Christensen,97.6,4.8,4,BA,Atlantic,0,Sambro Shallow,15.25,20,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
322,322,322,Sambro Shallow,NS-SAs-4-BA-4,2,5,2.3,5.8,0.9,3.5,NS,Atlantic,0.338,Christensen,98.9,2,4,BA,Atlantic,0,Sambro Shallow,4.05,5,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
323,323,323,Sambro Shallow,NS-SAs-4-BA-4,2,5,2.3,5.8,0.9,3.5,NS,Atlantic,2.073,Christensen,98.9,2,4,BA,Atlantic,0,Sambro Shallow,4.05,5,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
324,324,324,Sambro Shallow,NS-SAs-4-BA-4,5,10,5.8,11.5,0.9,5.7,NS,Atlantic,0.288,Christensen,97.7,4.6,4,BA,Atlantic,0,Sambro Shallow,8.65,10,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
325,325,325,Sambro Shallow,NS-SAs-5-BA-5,0,2,0,11.09,0.2,11.09,NS,Atlantic,0.303,Christensen,99.1,0,5,BA,Atlantic,0.9,Sambro Shallow,5.545,10,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
326,326,326,Sambro Shallow,NS-SAs-5-BA-5,2,4.4,11.1,24.4,0.2,13.3,NS,Atlantic,0.204,Christensen,99.7,0,5,BA,Atlantic,0.4,Sambro Shallow,17.75,20,SAs,23558.20146,2.80527e+41,52,0.184812561,-4,23558.20146,10013.53126
327,327,327,Sandy Island Exposed,BC-SIE-3-SG-3,0,2,0,2.5,1.103876475,2.5,BC,Vancouver Island,0.312,Christensen,95.3,0,3,SG,Pacific,4.7,Sandy Island,1.25,5,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
328,328,328,Sandy Island Exposed,BC-SIE-3-SG-3,10,20,12.6,25.2,1.626155001,12.6,BC,Vancouver Island,0.07,Christensen,100,0,3,SG,Pacific,0,Sandy Island,18.9,20,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
329,329,329,Sandy Island Exposed,BC-SIE-3-SG-3,2,5,2.5,6.3,1.204228882,3.8,BC,Vancouver Island,0.168,Christensen,98.7,0,3,SG,Pacific,1.2,Sandy Island,4.4,5,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
330,330,330,Sandy Island Exposed,BC-SIE-3-SG-3,20,29,25.2,36.5,1.581355704,11.3,BC,Vancouver Island,0.087,Christensen,97.5,0,3,SG,Pacific,2.4,Sandy Island,30.85,35,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
331,331,331,Sandy Island Exposed,BC-SIE-4-BA-4,20,30,26.3,39.5,1.207639276,13.2,BC,Vancouver Island,0.03,Christensen,100,0,4,BA,Pacific,0,Sandy Island,32.9,35,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
332,332,332,Sandy Island Exposed,BC-SIE-4-BA-4,30,41.4,39.5,54.5,1.168931738,15,BC,Vancouver Island,0.03,Christensen,100,0,4,BA,Pacific,0,Sandy Island,47,50,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
333,333,333,Sandy Island Exposed,BC-SIE-4-BA-4,5,10,6.6,13.2,1.197405045,6.6,BC,Vancouver Island,0.043,Christensen,100,0,4,BA,Pacific,0,Sandy Island,9.9,10,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
334,334,334,Sandy Island Exposed,BC-SIE-5-BA-5,0,2,0,2.9,1.373089778,2.9,BC,Vancouver Island,0.075,Christensen,100,0,5,BA,Pacific,0,Sandy Island,1.45,5,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
335,335,335,Sandy Island Exposed,BC-SIE-5-BA-5,10,20,14.3,28.7,1.15793326,14.4,BC,Vancouver Island,0.028,Christensen,100,0,5,BA,Pacific,0,Sandy Island,21.5,25,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
336,336,336,Sandy Island Exposed,BC-SIE-5-BA-5,2,5,2.9,7.2,0.951904594,4.3,BC,Vancouver Island,0.05,Christensen,100.1,0,5,BA,Pacific,0,Sandy Island,5.05,10,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
337,337,337,Sandy Island Exposed,BC-SIE-5-BA-5,20,30,28.7,43,0.941211967,14.3,BC,Vancouver Island,0.028,Christensen,99.9,0,5,BA,Pacific,0,Sandy Island,35.85,40,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
338,338,338,Sandy Island Exposed,BC-SIE-5-BA-5,30,42.3,43,60.7,1.20538537,17.7,BC,Vancouver Island,0.025,Christensen,100.1,0,5,BA,Pacific,0,Sandy Island,51.85,55,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
339,339,339,Sandy Island Exposed,BC-SIE-5-BA-5,5,10,7.2,14.3,1.223653796,7.1,BC,Vancouver Island,0.045,Christensen,100,0,5,BA,Pacific,0,Sandy Island,10.75,15,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
340,340,340,Sandy Island Exposed,BC-SIE-3-SG-3,5,10,6.3,12.6,1.428126251,6.3,BC,Vancouver Island,0.077,Christensen,100,0,3,SG,Pacific,0,Sandy Island,9.45,10,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
341,341,341,Sandy Island Exposed,BC-SIE-4-BA-4,0,2,0,2.6,1.157747399,2.6,BC,Vancouver Island,0.062,Christensen,100,0,4,BA,Pacific,0,Sandy Island,1.3,5,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
342,342,342,Sandy Island Exposed,BC-SIE-4-BA-4,10,20,13.2,26.3,1.291645257,13.1,BC,Vancouver Island,0.032,Christensen,100,0,4,BA,Pacific,0,Sandy Island,19.75,20,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
343,343,343,Sandy Island Exposed,BC-SIE-4-BA-4,2,5,2.6,6.6,1.162722373,4,BC,Vancouver Island,0.058,Christensen,100,0,4,BA,Pacific,0,Sandy Island,4.6,5,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
344,344,344,Sandy Island Exposed,BC-SIE-1-SG-1,0,2,0,2.8,1.134745688,2.8,BC,Vancouver Island,0.075,Christensen,100,0,1,SG,Pacific,0,Sandy Island,1.4,5,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
345,345,345,Sandy Island Exposed,BC-SIE-1-SG-1,10,20,14,28,1.141161211,14,BC,Vancouver Island,0.048,Christensen,99.9,0,1,SG,Pacific,0,Sandy Island,21,25,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
346,346,346,Sandy Island Exposed,BC-SIE-1-SG-1,2,5,2.8,7,1.696103979,4.2,BC,Vancouver Island,0.059,Christensen,100.1,0,1,SG,Pacific,0,Sandy Island,4.9,5,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
347,347,347,Sandy Island Exposed,BC-SIE-1-SG-1,20,30,28,42,1.598668218,14,BC,Vancouver Island,0.058,Christensen,100.1,0,1,SG,Pacific,0,Sandy Island,35,35,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
348,348,348,Sandy Island Exposed,BC-SIE-1-SG-1,30,35,42,49,1.583832321,7,BC,Vancouver Island,0.065,Christensen,99.9,0,1,SG,Pacific,0,Sandy Island,45.5,50,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
349,349,349,Sandy Island Exposed,BC-SIE-1-SG-1,5,10,7,14,1.077807918,7,BC,Vancouver Island,0.061,Christensen,100,0,1,SG,Pacific,0,Sandy Island,10.5,15,SIe,32635.46911,5.40868e+68,55,0.457362703,2,32635.46911,24452.5404
350,350,350,Sooke,BC-SOO-1-SG-1,0,2,0,3.6,1.063072263,3.6,BC,Vancouver Island,0.605,Christensen,95,0,1,SG,Pacific,5.1,Sooke,1.8,5,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
351,351,351,Sooke,BC-SOO-1-SG-1,10,20,18.2,36.4,0.582994992,18.2,BC,Vancouver Island,0.565,Christensen,80.9,0,1,SG,Pacific,19.1,Sooke,27.3,30,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
352,352,352,Sooke,BC-SOO-1-SG-1,2,5,3.6,9.1,0.957278599,5.5,BC,Vancouver Island,0.647,Christensen,96.3,0,1,SG,Pacific,3.7,Sooke,6.35,10,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
353,353,353,Sooke,BC-SOO-1-SG-1,20,30.3,36.4,55.2,0.765854789,18.8,BC,Vancouver Island,0.467,Christensen,77.2,0,1,SG,Pacific,22.7,Sooke,45.8,50,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
354,354,354,Sooke,BC-SOO-1-SG-1,5,10,9.1,18.2,0.868946024,9.1,BC,Vancouver Island,1.06,Christensen,88.2,0,1,SG,Pacific,11.8,Sooke,13.65,15,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
355,355,355,Sooke,BC-SOO-2-SG-2,0,2,0,4.7,0.579795058,4.7,BC,Vancouver Island,0.289,Christensen,99.9,0,2,SG,Pacific,0,Sooke,2.35,5,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
356,356,356,Sooke,BC-SOO-2-SG-2,2,5,4.7,11.9,0.491445335,7.2,BC,Vancouver Island,0.282,Christensen,100,0,2,SG,Pacific,0,Sooke,8.3,10,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
357,357,357,Sooke,BC-SOO-2-SG-2,5,9.5,11.9,22.5,0.667355945,10.6,BC,Vancouver Island,0.918,Christensen,97.7,0,2,SG,Pacific,2.4,Sooke,17.2,20,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
358,358,358,Sooke,BC-SOO-2-SG-2,9.5,21.5,22.5,51,0.679977334,28.5,BC,Vancouver Island,0.57,Christensen,80.8,0,2,SG,Pacific,19.1,Sooke,36.75,40,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
359,359,359,Sooke,BC-SOO-3-SG-3,0,2,0,6.6,0.198714218,6.6,BC,Vancouver Island,0.99,Christensen,88.8,0,3,SG,Pacific,11.2,Sooke,3.3,5,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
360,360,360,Sooke,BC-SOO-3-SG-3,10,15.4,33.1,50.9,0.614888091,17.8,BC,Vancouver Island,0.616,Christensen,87.7,0,3,SG,Pacific,12.4,Sooke,42,45,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
361,361,361,Sooke,BC-SOO-3-SG-3,2,5,6.6,16.5,0.392333199,9.9,BC,Vancouver Island,0.531,Christensen,93.2,0,3,SG,Pacific,6.9,Sooke,11.55,15,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
362,362,362,Sooke,BC-SOO-3-SG-3,5,10,16.5,33.1,0.307752276,16.6,BC,Vancouver Island,0.554,Christensen,95.4,0,3,SG,Pacific,4.5,Sooke,24.8,25,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
363,363,363,Sooke,BC-SOO-4-SG-4,0,2,0,6.5,0.377405497,6.5,BC,Vancouver Island,0.495,Christensen,96.6,0,4,SG,Pacific,3.5,Sooke,3.25,5,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
364,364,364,Sooke,BC-SOO-4-SG-4,10,16,32.5,19.5,0.474419725,-13,BC,Vancouver Island,0.605,Christensen,84.2,0,4,SG,Pacific,15.9,Sooke,26,30,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
365,365,365,Sooke,BC-SOO-4-SG-4,2,5,6.5,16.3,0.430086814,9.8,BC,Vancouver Island,0.541,Christensen,97.6,0,4,SG,Pacific,2.4,Sooke,11.4,15,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
366,366,366,Sooke,BC-SOO-4-SG-4,5,10,16.3,32.5,0.471195513,16.2,BC,Vancouver Island,0.477,Christensen,95.2,0,4,SG,Pacific,4.9,Sooke,24.4,25,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
367,367,367,Sooke,BC-SOO-5-SG-5,0,2,0,5.3,0.488163002,5.3,BC,Vancouver Island,0.624,Christensen,94.2,0,5,SG,Pacific,5.8,Sooke,2.65,5,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
368,368,368,Sooke,BC-SOO-5-SG-5,10,14.4,26.7,38.5,0.517748639,11.8,BC,Vancouver Island,0.726,Christensen,85.4,0,5,SG,Pacific,14.7,Sooke,32.6,35,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
369,369,369,Sooke,BC-SOO-5-SG-5,2,5,5.3,13.4,0.375833021,8.1,BC,Vancouver Island,0.707,Christensen,95.8,0,5,SG,Pacific,4.2,Sooke,9.35,10,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
370,370,370,Sooke,BC-SOO-5-SG-5,5,10,13.4,26.7,0.728990083,13.3,BC,Vancouver Island,0.317,Christensen,97.2,0,5,SG,Pacific,2.8,Sooke,20.05,25,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
371,371,371,Sooke,BC-SOO-7-BA-7,0,4,0,4,1.355680272,4,BC,Vancouver Island,0.141,Christensen,95.3,0,7,BA,Pacific,4.7,Sooke,2,5,SOO,31277.59156,2.14551e+51,60,0.115469351,13,31277.59156,6339.905435
372,372,372,Taylor's Head,NS-TH-1-BA-1,20.1,25,10.05,12.5,0.166117515,2.5,NS,Atlantic,0.353217478,Wong,88.76115294,0,1,BA,Atlantic,10.9496169,Taylor's Head,11.275,15,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
373,373,373,Taylor's Head,NS-TH-1-BA-1,25.1,30,12.55,15,0.166668503,2.5,NS,Atlantic,0.221282051,Wong,88.19002281,0,1,BA,Atlantic,11.79543125,Taylor's Head,13.775,15,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
374,374,374,Taylor's Head,NS-TH-1-BA-1,30.1,35,15.05,17.5,0.167025544,2.5,NS,Atlantic,0.057387387,Wong,88.87767288,0.108861311,1,BA,Atlantic,11.01346581,Taylor's Head,16.275,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
375,375,375,Taylor's Head,NS-TH-1-BA-1,35.1,40,17.55,20,0.166260772,2.5,NS,Atlantic,0.373561116,Wong,87.83628832,0,1,BA,Atlantic,12.05302403,Taylor's Head,18.775,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
376,376,376,Taylor's Head,NS-TH-1-BA-1,40.1,45,20.05,22.5,0.1670013,2.5,NS,Atlantic,0.184175506,Wong,83.62818136,4.495635018,1,BA,Atlantic,11.83263278,Taylor's Head,21.275,25,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
377,377,377,Taylor's Head,NS-TH-1-BA-1,45.1,48.5,22.55,24.25,0.236185145,1.75,NS,Atlantic,0.396972406,Wong,87.00259948,0.644537759,1,BA,Atlantic,11.97893755,Taylor's Head,23.4,25,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
378,378,378,Taylor's Head,NS-TH-1-BA-1,5.1,10,2.55,5,0.165599586,2.5,NS,Atlantic,0.074072044,Wong,95.54150724,0.204292131,1,BA,Atlantic,3.970720346,Taylor's Head,3.775,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
379,379,379,Taylor's Head,NS-TH-2-SG-2,0,2,0,1,0.413470015,1,NS,Atlantic,0.886263995,Wong,85.26681903,0,2,SG,Atlantic,14.46799438,Taylor's Head,0.5,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
380,380,380,Taylor's Head,NS-TH-2-SG-2,10.1,15,5.05,7.5,0.165329601,2.5,NS,Atlantic,0.2892,Wong,85.59288142,0,2,SG,Atlantic,14.40111978,Taylor's Head,6.275,10,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
381,381,381,Taylor's Head,NS-TH-2-SG-2,15.1,20,7.55,10,0.165309766,2.5,NS,Atlantic,0.125162772,Wong,86.18843826,0,2,SG,Atlantic,13.76556542,Taylor's Head,8.775,10,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
382,382,382,Taylor's Head,NS-TH-2-SG-2,2.1,5,1.05,2.5,0.27551444,1.5,NS,Atlantic,0.912430239,Wong,90.83333889,0,2,SG,Atlantic,8.732026318,Taylor's Head,1.775,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
383,383,383,Taylor's Head,NS-TH-2-SG-2,25.1,30,12.55,15,0.165338417,2.5,NS,Atlantic,0.115773525,Wong,84.23865954,0,2,SG,Atlantic,15.55472614,Taylor's Head,13.775,15,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
384,384,384,Taylor's Head,NS-TH-2-SG-2,35.1,40,17.55,20,0.165385802,2.5,NS,Atlantic,0.114975124,Wong,95.18393401,0,2,SG,Atlantic,4.794077865,Taylor's Head,18.775,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
385,385,385,Taylor's Head,NS-TH-2-SG-2,40.1,45,20.05,22.5,0.16529544,2.5,NS,Atlantic,0.211258741,Wong,84.75456503,0,2,SG,Atlantic,15.23076821,Taylor's Head,21.275,25,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
