,X,X.x,Site,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Core.Number,Type,Coast,Percent.Silt.Fraction,SiteName2.x,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,SiteCode,Watercourse_NEAR_DIST.x,REI_SUM,X.y,REI_Scaled,Elevation,Watercourse_NEAR_DIST.y,REI_Raw
221,221,221,Port l'Hebert,NS-PLH-4-SG-4,15.1,20,7.55,10,0.161576268,2.5,NS,Atlantic,7.207505014,Wong,44.35563073,0,4,SG,Atlantic,55.49227957,Port l'Hebert,8.775,10,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
222,222,222,Port l'Hebert,NS-PLH-4-SG-4,2.1,5,1.05,2.5,0.270052307,1.5,NS,Atlantic,5.798143713,Wong,35.09728844,0,4,SG,Atlantic,64.67351755,Port l'Hebert,1.775,5,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
223,223,223,Port l'Hebert,NS-PLH-4-SG-4,20.1,25,10.05,12.5,0.161610429,2.5,NS,Atlantic,8.127325605,Wong,36.62677713,0,4,SG,Atlantic,62.61361699,Port l'Hebert,11.275,15,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
224,224,224,Port l'Hebert,NS-PLH-4-SG-4,25.1,30,12.55,15,0.16176691,2.5,NS,Atlantic,6.331729384,Wong,40.9054681,0,4,SG,Atlantic,59.02709183,Port l'Hebert,13.775,15,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
225,225,225,Port l'Hebert,NS-PLH-4-SG-4,30.1,35,15.05,17.5,0.162035792,2.5,NS,Atlantic,5.53011607,Wong,36.43881638,0.25503091,4,SG,Atlantic,63.19529927,Port l'Hebert,16.275,20,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
226,226,226,Port l'Hebert,NS-PLH-4-SG-4,35.1,40,17.55,20,0.16214599,2.5,NS,Atlantic,6.032727455,Wong,33.39110105,0.529424158,4,SG,Atlantic,65.96122087,Port l'Hebert,18.775,20,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
227,227,227,Port l'Hebert,NS-PLH-4-SG-4,40.1,45,20.05,22.5,0.160895246,2.5,NS,Atlantic,7.128391819,Wong,28.39540841,0,4,SG,Atlantic,71.40049039,Port l'Hebert,21.275,25,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
228,228,228,Port l'Hebert,NS-PLH-4-SG-4,45.1,51.5,22.55,25.75,0.125615902,3.2,NS,Atlantic,5.061729658,Wong,40.1901185,0.299501744,4,SG,Atlantic,59.4151149,Port l'Hebert,24.15,25,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
229,229,229,Port l'Hebert,NS-PLH-4-SG-4,5.1,10,2.55,5,0.161840742,2.5,NS,Atlantic,6.024129174,Wong,36.4738806,0,4,SG,Atlantic,62.95688528,Port l'Hebert,3.775,5,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
230,230,230,Port l'Hebert,NS-PLH-5-SG-5,0,2,0,1,0.220720473,1,NS,Atlantic,7.1778,Wong,36.21533238,0,5,SG,Atlantic,63.49384658,Port l'Hebert,0.5,5,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
