"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_25","c_60_cm2","c_100_cm2","c_25_cm2"
"1","Airpark","BC-BOB-3-SG-3",0.20419997,"SG",11002.10462,"Pacific",3.03156015168735,2.58329752790679,1.56029932045717,0.172659137446064,0.202619541594313,0.104285291151153
"2","Airpark","BC-BOB-4-SG-4",0.20419997,"SG",11002.10462,"Pacific",2.73778189796505,2.07399439385936,1.08285531190415,0.138618985712377,0.182984366265049,0.0723744989156371
"3","Annandale","PEI-ANN-1-BA-",0.027056911,"BA",89030.64851,"Gulf of St.Lawrence",4.21681703002186,2.44218779762214,0.986898006994708,0.163227825700902,0.281838225487481,0.0659610272507077
"4","Annandale","PEI-ANN-2-BA-",0.027056911,"BA",89030.64851,"Gulf of St.Lawrence",3.32388693991185,1.93792159004132,0.787617740718094,0.129524325618722,0.222157705728321,0.0526417875914563
"5","Annandale","PEI-ANN-3-SG-",0.027056911,"SG",89030.64851,"Gulf of St.Lawrence",3.80673604227397,2.52963214832559,1.15634795137165,0.169072319416352,0.254429756713483,0.0772865059926445
"6","Annandale","PEI-ANN-5-SG-",0.027056911,"SG",89030.64851,"Gulf of St.Lawrence",3.6837236044991,2.37159607083963,1.05258514280414,0.158509706117142,0.246208008667853,0.0703513400534879
"7","Cardigan","PEI-CAR-1-BA-",0.027515053,"BA",81385.10969,"Gulf of St.Lawrence",1.00545699222816,0.983275245494962,0.794439352393594,0.0657188937492578,0.0672014489782346,0.0530977217512502
"8","Cardigan","PEI-CAR-2-BA-",0.027515053,"BA",81385.10969,"Gulf of St.Lawrence",0.792586617685322,0.754028076671749,0.557723203788081,0.0503967645700298,0.0529738910375245,0.0372763904503608
"9","Cardigan","PEI-CAR-3-SG-",0.027515053,"SG",81385.10969,"Gulf of St.Lawrence",0.8470857418156,0.821443855129389,0.643133050546741,0.0549026141800756,0.056616433819472,0.0429849045922451
"10","Cardigan","PEI-CAR-4-SG-",0.027515053,"SG",81385.10969,"Gulf of St.Lawrence",1.16707637158562,1.14529169765572,0.939206151986332,0.0765475422421066,0.078003558426711,0.0627734600192935
"11","Cardigan","PEI-CAR-5-SG-",0.027515053,"SG",81385.10969,"Gulf of St.Lawrence",1.15605634172234,1.13800581401922,0.947050333940667,0.0760605776665513,0.0772670157597244,0.0632977394240366
"12","Cates Park","BC-CAP-1-SG-1",0.020752545,"SG",11932.15437,"Pacific",5.895040364191,4.2073807664621,2.06254772741947,0.281207536567857,0.394005171102255,0.137853928055334
"13","Centennial Beach","BC-CEB-1-SG-1",0.233078785,"SG",8718.593092,"Pacific",3.77132373532767,2.79305170965237,1.42295121874258,0.186678419276617,0.252062914216142,0.0951053943271467
"14","Centennial Beach","BC-CEB-2-BA-2",0.233078785,"BA",8718.593092,"Pacific",3.14756311263053,1.83459183335262,0.745437568164019,0.122618103447388,0.210372799189023,0.049822603145283
"15","Crescent Beach","BC-CRB-1-SG-1",0.185746742,"SG",13699.79929,"Pacific",0.83317806566806,0.707297019893717,0.424921475704382,0.0472734139423629,0.0556868903419697,0.0284003583345953
"16","Crescent Beach","BC-CRB-2-BA-2",0.185746742,"BA",13699.79929,"Pacific",0.861601436415657,0.723472435320615,0.42810751143463,0.0483545256785333,0.0575866152569571,0.0286133025174138
"17","Fulmore","BC-FUL-2-SG-2",0.009561641,"SG",58527.17962,"Pacific",10.3521088839365,6.71410894080283,3.00028267470108,0.448749029453547,0.691901018500377,0.200529057575496
"18","Fulmore","BC-FUL-4-SG-4",0.009561641,"SG",58527.17962,"Pacific",9.67819029034177,6.94967239929605,3.42812501491622,0.464493318726416,0.646858509140946,0.229124636917961
"19","Fulmore","BC-FUL-5-BA-5",0.009561641,"BA",58527.17962,"Pacific",10.833028194205,4.55009160512731,1.42043457580082,0.304113205449637,0.724044088508807,0.0949371901637126
"20","Mason's Island Shallow","NS-MAs-3-SG-3",0.003733477,"SG",12230.32955,"Atlantic",31.9981354759647,20.9111314255022,9.41039745253963,1.397631467512,2.13865046959534,0.628960113818819
"21","Mason's Island Shallow","NS-MAs-4-BA-4",0.003733477,"BA",12230.32955,"Atlantic",58.1673672453037,40.040356244205,18.9338175853974,2.67616613939135,3.88771612545163,1.2654742930462
"22","Mason's Island Shallow","NS-MAs-5-BA-5",0.003733477,"BA",12230.32955,"Atlantic",63.0481233505324,43.3576859752014,20.4829090286114,2.89788558277352,4.21392986200726,1.36901048642734
"23","Parksville","BC-PAR-1-SG-1",0.098275402,"SG",37982.6795,"Pacific",1.01536455410829,0.789027172071687,0.423942786349723,0.0527359893623216,0.0678636379324441,0.0283349459467547
"24","Parksville","BC-PAR-2-SG-2",0.098275402,"SG",37982.6795,"Pacific",0.858217149455276,0.61147887496862,0.299240934789117,0.040869243274552,0.0573604206118816,0.0200002830224157
"25","Parksville","BC-PAR-3-SG-3",0.098275402,"SG",37982.6795,"Pacific",1.02173312869899,0.757534827734986,0.386390117885857,0.0506311443142427,0.068289292578768,0.0258250487027377
"26","Parksville","BC-PAR-4-BA-4",0.098275402,"BA",37982.6795,"Pacific",1.02073654623637,0.578398551730233,0.229426600025191,0.0386582629228598,0.0682226842742536,0.0153341217725045
"27","Parksville","BC-PAR-5-BA-5",0.098275402,"BA",37982.6795,"Pacific",0.980144766623558,0.583474648797157,0.241449319704983,0.0389975326088714,0.0655096628047418,0.0161376809395164
