"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","c_100","c_60","c_30","c_60_m2","c_100_m2","c_30_m2"
"1","Airpark","BC-BOB-3-SG-3",0.20419997,"SG",11002.10462,3.31174209443612,2.73000607930292,1.80015062224135,1532.51154678113,1859.07388198213,1010.52947663564
"2","Airpark","BC-BOB-4-SG-4",0.20419997,"SG",11002.10462,3.01062387659487,2.18504286563652,1.27357100082486,1226.59192856257,1690.03867386065,714.929640342804
"3","Annandale","PEI-ANN-1-BA-",0.027056911,"BA",89030.64851,5.86052230138482,2.85583445650366,1.23067450930038,1603.14634955128,3289.85278279449,690.849339175687
"4","Annandale","PEI-ANN-2-BA-",0.027056911,"BA",89030.64851,4.59628429279431,2.27697292151704,0.992419843417181,1278.19762761255,2580.16229502119,557.103107140296
"5","Annandale","PEI-ANN-3-SG-",0.027056911,"SG",89030.64851,5.51383202818324,3.09323211440702,1.4719128188609,1736.41149305184,3095.23532356385,826.270464326391
"6","Annandale","PEI-ANN-5-SG-",0.027056911,"SG",89030.64851,5.35308830853105,2.90440846550066,1.34927813922201,1630.41377222323,3005.00050382952,757.428470161163
"7","Cardigan","PEI-CAR-1-BA-",0.027515053,"BA",81385.10969,1.01419719552566,0.986822012009845,0.841599944423625,553.960718068816,569.328004299895,472.439106409936
"8","Cardigan","PEI-CAR-2-BA-",0.027515053,"BA",81385.10969,0.810343994332622,0.763777756600766,0.605625800285452,428.752976060822,454.893319686887,339.973064163655
"9","Cardigan","PEI-CAR-3-SG-",0.027515053,"SG",81385.10969,0.898612902845369,0.863442242859394,0.713014263427586,484.700461728824,504.443803307822,400.256468293811
"10","Cardigan","PEI-CAR-4-SG-",0.027515053,"SG",81385.10969,1.2176534274394,1.18707468084733,1.01805060750087,666.37421399244,683.539846916744,571.491149060373
"11","Cardigan","PEI-CAR-5-SG-",0.027515053,"SG",81385.10969,1.20413638034297,1.17832083280222,1.02228015988406,661.460168815175,675.951940460891,573.865443357405
"12","Cates Park","BC-CAP-1-SG-1",0.020752545,"SG",11932.15437,9.01890416234543,5.39266990334385,2.68936087366004,3027.2199602441,5062.83662622319,1509.69502360881
"13","Centennial Beach","BC-CEB-1-SG-1",0.233078785,"SG",8718.593092,4.81587044695068,3.21718266443879,1.74868410288596,1805.99216197184,2703.42880322026,981.63831929254
"14","Centennial Beach","BC-CEB-2-BA-2",0.233078785,"BA",8718.593092,4.19889441907114,2.096170099046,0.91848792302705,1176.70246420316,2357.08419469324,515.600810668301
"15","Crescent Beach","BC-CRB-1-SG-1",0.185746742,"SG",13699.79929,0.943208642299,0.766721740866014,0.498058381062634,430.405606036352,529.477991388232,279.589201553903
"16","Crescent Beach","BC-CRB-2-BA-2",0.185746742,"BA",13699.79929,0.897446776137561,0.735966744407946,0.482574295702426,413.141033788499,503.789188412173,270.897081860191
"17","Fulmore","BC-FUL-2-SG-2",0.009561641,"SG",58527.17962,12.9038211449612,7.61495179833939,3.76063259658776,4274.71632668184,7243.66698381164,2111.06228706415
"18","Fulmore","BC-FUL-4-SG-4",0.009561641,"SG",58527.17962,11.1987024333641,7.56043046323085,4.14480704491796,4244.11032318858,6286.48445811472,2326.7217987802
"19","Fulmore","BC-FUL-5-BA-5",0.009561641,"BA",58527.17962,13.8543469568779,5.12707587854022,1.83923945823807,2878.12655241127,7777.25252903054,1032.47231880342
"20","Mason's Island Shallow","NS-MAs-3-SG-3",0.003733477,"SG",12230.32955,32.0628570961294,21.058254493181,11.2908526347171,11821.2257512979,17998.7506603496,6338.21373765085
"21","Mason's Island Shallow","NS-MAs-4-BA-4",0.003733477,"BA",12230.32955,60.7729610368558,40.5226401354339,21.9925415149344,22747.7200085452,34115.4055396252,12345.6955170248
"22","Mason's Island Shallow","NS-MAs-5-BA-5",0.003733477,"BA",12230.32955,67.3435517829235,44.3370598270833,23.8182894943353,24888.9761273648,37803.8611309377,13370.5942823267
"23","Parksville","BC-PAR-1-SG-1",0.098275402,"SG",37982.6795,1.18334635559346,0.864535694359978,0.506851426139294,485.314279794356,664.281287700064,284.525250309805
"24","Parksville","BC-PAR-2-SG-2",0.098275402,"SG",37982.6795,1.06843489160775,0.698730867662242,0.373365250152258,392.238365658954,599.77478467404,209.591678701046
"25","Parksville","BC-PAR-3-SG-3",0.098275402,"SG",37982.6795,1.26453698184904,0.861641186509375,0.47596884193021,483.689423814391,709.85831889072,267.189055620105
"26","Parksville","BC-PAR-4-BA-4",0.098275402,"BA",37982.6795,1.24638805341845,0.641405545113053,0.28704722605397,360.058320568352,699.670267445545,161.136340220725
"27","Parksville","BC-PAR-5-BA-5",0.098275402,"BA",37982.6795,1.17798833753849,0.644318657985709,0.301058419125954,361.693620631699,661.2735198422,169.001639616863
"28","Port Joli","NS-PJO-1-SG-1",0.029998959,"SG",23599.85735,6.96932421864275,4.68045431638714,2.55497417129142,2627.41183560896,3912.28793199559,1434.25593404959
"29","Port Joli","NS-PJO-2-SG-2",0.029998959,"SG",23599.85735,5.06388290513828,3.90371407861762,2.40456226463697,2191.38226327362,2842.65265286646,1349.8209632014
"30","Port Joli","NS-PJO-3-SG-3",0.029998959,"SG",23599.85735,7.09610635909419,4.20793408172073,2.08557116785696,2362.15868426839,3983.45813767406,1170.75266630568
"31","Port Joli","NS-PJO-4-BA-4",0.029998959,"BA",23599.85735,8.32952067533338,2.77716165424005,0.931120145856991,1558.98271973351,4675.84549019027,522.692013686186
"32","Port Joli","NS-PJO-5-BA-5",0.029998959,"BA",23599.85735,23.350357953028,4.79418864864879,1.17827970224011,2691.25754598221,13107.9170320475,661.437079833124
"33","Port l'Hebert","NS-PLH-1-SG-1",0.025576715,"SG",27198.60056,13.7446255970213,9.97616678833336,5.81501661525517,5600.20393787515,7715.65953398795,3264.30778860323
"34","Port l'Hebert","NS-PLH-2-SG-2",0.025576715,"SG",27198.60056,16.0967214625033,11.7460567591325,6.8791047235703,6593.74634693614,9036.02804903089,3861.64247043728
"35","Port l'Hebert","NS-PLH-4-SG-4",0.025576715,"SG",27198.60056,12.9731754738482,10.1188273623298,6.30380944555082,5680.28763387034,7282.59961134108,3538.69569641448
"36","Port l'Hebert","NS-PLH-5-SG-5",0.025576715,"SG",27198.60056,14.3022725262718,10.9868033373537,6.74484137634931,6167.53314373838,8028.69926110888,3786.2726273129
"37","Roberts Bank North","BC-RBN-1-BA-1",0.3334105,"BA",8436.399749,11.2308706006104,4.7813399401043,1.88081914066017,2684.04481691361,6304.54232550094,1055.8134182634
"38","Roberts Bank North","BC-RBN-2-BA-2",0.3334105,"BA",8436.399749,20.713904346085,15.3184362746447,9.07893667908572,8599.13120615406,11627.9219412584,5096.536377218
"39","Roberts Bank North","BC-RBN-3-BA-3",0.3334105,"BA",8436.399749,11.8542310252715,7.86581096787754,4.25220188085047,4415.53820134642,6654.47086809358,2387.00878032907
"40","Sacrifice Shallow","NS-SCs-1-BA-1",0.01492786,"BA",14864.16694,37.2364543858222,12.5838756745931,4.2560375368293,7064.06294138961,20902.9923926149,2389.16195761376
"41","Sacrifice Shallow","NS-SCs-2-BA-2",0.01492786,"BA",14864.16694,23.0839443615024,15.6465391549865,8.60580129274162,8783.31447829693,12958.3635536404,4830.93790538301
