"","X.1","X","X.x","Site","CoreName_2","Extracted_IntervalStart_Depth_cm","Extracted_IntervalEnd_Depth_cm","Corrected_DBD_g_cm3","Corrected_Sample_Thickness_cm","Province","Region","OC_Per","Study","Percent.Sand.Fraction","Percent.Gravel.Fraction","Core.Number","Type","Coast","Percent.Silt.Fraction","SiteName2.x","Corrected_Midpoint_cm","SiteCode","Watercourse_NEAR_DIST.x","REI_SUM","REI_Scaled","REI_Raw","c_dens","estCfactorS","meanCF","sdCF","conversion","consistent.with.Matts.data","CF_final","corr_SD","corr_ED","corr_thickness","corr_segment_midpoint"
"90",94,94,94,"Fulmore","BC-FUL-4-SG-4",30,40,0.862296984,13.3,"BC","Central Coast",0.707,"Christensen",69.9,0,4,"SG","Pacific",30.1,"Fulmore",46.55,"FUL",58527.17962,2.35583e+55,0.009561641,729.1859637,0.00609643967688,0.75187969924812,"0.748529699040304",0.004986173080626,"Missing",NA,0.748529699040304,22.4558909712091,29.9411879616122,7.48529699040304,26.1985394664106
"91",95,95,95,"Fulmore","BC-FUL-5-BA-5",20,30,0.801484913,18.6,"BC","Central Coast",0.419,"Christensen",80.8,0,5,"BA","Pacific",19.2,"Fulmore",46.3,"FUL",58527.17962,2.35583e+55,0.009561641,729.1859637,0.00335822178547,0.540540540540541,"0.539764875109503",0.00126317873620097,"Missing",NA,0.539764875109503,10.7952975021901,16.1929462532851,5.39764875109503,13.4941218777376
"92",96,96,96,"Fulmore","BC-FUL-5-BA-5",30,39.5,0.769639944,17.5,"BC","Central Coast",0.6,"Christensen",80.1,0,5,"BA","Pacific",19.9,"Fulmore",64.35,"FUL",58527.17962,2.35583e+55,0.009561641,729.1859637,0.004617839664,0.539568345323741,"0.539764875109503",0.00126317873620097,"Missing",NA,0.539764875109503,16.1929462532851,21.3207125668254,5.12776631354028,18.7568294100552
"93",97,97,97,"Fulmore","BC-FUL-5-BA-5",5,10,0.707513535,9.2,"BC","Central Coast",0.425,"Christensen",83.8,0,5,"BA","Pacific",16.1,"Fulmore",13.9,"FUL",58527.17962,2.35583e+55,0.009561641,729.1859637,0.00300693252375,0.537634408602151,"0.539764875109503",0.00126317873620097,"Missing",NA,0.539764875109503,2.69882437554751,5.39764875109503,2.69882437554751,4.04823656332127
"94",98,98,98,"Mason's Island Shallow","NS-MAs-3-SG-3",0,2,0.3,2,"NS","Atlantic",6.963,"Christensen",66.8,0,3,"SG","Atlantic",33.2,"Mason's Island Shallow",1,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.020889,0,"1",0,"1","y",1,0,2,2,1
"95",99,99,99,"Mason's Island Shallow","NS-MAs-3-SG-3",10,20,0.4,10,"NS","Atlantic",4.992,"Christensen",71.7,0,3,"SG","Atlantic",28.4,"Mason's Island Shallow",15,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.019968,1,"1",0,"1","y",1,10,20,10,15
"96",100,100,100,"Mason's Island Shallow","NS-MAs-3-SG-3",2,5,0.3,3,"NS","Atlantic",6.052,"Christensen",67.7,0,3,"SG","Atlantic",32.5,"Mason's Island Shallow",3.5,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.018156,1,"1",0,"1","y",1,2,5,3,3.5
"97",101,101,101,"Mason's Island Shallow","NS-MAs-3-SG-3",20,30,0.3,10,"NS","Atlantic",4.776,"Christensen",69.8,0,3,"SG","Atlantic",30.3,"Mason's Island Shallow",25,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.014328,1,"1",0,"1","y",1,20,30,10,25
"98",102,102,102,"Mason's Island Shallow","NS-MAs-3-SG-3",30,40,0.3,10,"NS","Atlantic",5.147,"Christensen",69.2,0,3,"SG","Atlantic",31,"Mason's Island Shallow",35,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.015441,1,"1",0,"1","y",1,30,40,10,35
"99",103,103,103,"Mason's Island Shallow","NS-MAs-3-SG-3",40,50,0.2,10,"NS","Atlantic",4.94,"Christensen",65.7,0,3,"SG","Atlantic",34.2,"Mason's Island Shallow",45,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.00988,1,"1",0,"1","y",1,40,50,10,45
