,SiteName2,SampleName,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,Site,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Percent.Silt.Fraction,Core.Number,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,Prov,SiteCode,Watercourse_NEAR_FID,Watercourse_NEAR_DIST,Elevation,REI,LOI_Percent,Coast,Type
19,Annandale,PEI-ANN-5-SG-5-2-5,PEI-ANN-5-SG-,2,5,3.4,8.4,1.005862407,5,PEI,Gulf of St Lawrence,Annandale,0.258,Christensen,94.8,0,5.1,5,5.9,10,PEI ,ANN,3457,89030.64851,-2,1656.040646,1.325497061,Gulf of St.Lawrence,Seagrass
20,Annandale,PEI-ANN-5-SG-5-20-30.4,PEI-ANN-5-SG-,20,30.4,33.7,51.2,0.589298041,17.5,PEI,Gulf of St Lawrence,Annandale,0.503,Christensen,80.6,0,19.2,5,42.45,45,PEI ,ANN,3457,89030.64851,-2,1656.040646,1.411468179,Gulf of St.Lawrence,Seagrass
21,Annandale,PEI-ANN-5-SG-5-5-10,PEI-ANN-5-SG-,5,10,8.4,16.8,0.898857849,8.4,PEI,Gulf of St Lawrence,Annandale,0.223,Christensen,92.7,0,7.2,5,12.6,15,PEI ,ANN,3457,89030.64851,-2,1656.040646,1.036204744,Gulf of St.Lawrence,Seagrass
22,Cardigan,PEI-CAR-3-SG-3-0-2,PEI-CAR-3-SG-,0,2,0,3.1,0.876132204,3.1,PEI,Gulf of St Lawrence,Cardigan,0.338,Christensen,91.9,0,8.1,3,1.55,5,PEI ,CAR,3457,81385.10969,8,1680.311839,1.602928184,Gulf of St.Lawrence,Seagrass
23,Cardigan,PEI-CAR-3-SG-3-2-5,PEI-CAR-3-SG-,2,5,3.1,7.7,0.792169534,4.6,PEI,Gulf of St Lawrence,Cardigan,0.26,Christensen,86.3,0,13.8,3,5.4,10,PEI ,CAR,3457,81385.10969,8,1680.311839,1.324753974,Gulf of St.Lawrence,Seagrass
24,Cardigan,PEI-CAR-3-SG-3-20-31.8,PEI-CAR-3-SG-,20,31.8,30.8,48.9,1.083409243,18.1,PEI,Gulf of St Lawrence,Cardigan,0.055,Christensen,66.7,0,33.2,3,39.85,40,PEI ,CAR,3457,81385.10969,8,1680.311839,0.686898963,Gulf of St.Lawrence,Seagrass
25,Cardigan,PEI-CAR-4-SG-4-0-2,PEI-CAR-4-SG-,0,2,0,2.3,1.242310305,2.3,PEI,Gulf of St Lawrence,Cardigan,0.411,Christensen,93.8,0,6.1,4,1.15,5,PEI ,CAR,3457,81385.10969,8,1680.311839,1.469295492,Gulf of St.Lawrence,Seagrass
26,Cardigan,PEI-CAR-4-SG-4-10-20,PEI-CAR-4-SG-,10,20,11.7,23.4,1.206680429,11.7,PEI,Gulf of St Lawrence,Cardigan,0.138,Christensen,82.7,0,17.3,4,17.55,20,PEI ,CAR,3457,81385.10969,8,1680.311839,0.984475577,Gulf of St.Lawrence,Seagrass
27,Cardigan,PEI-CAR-4-SG-4-2-5,PEI-CAR-4-SG-,2,5,2.3,5.9,1.416226774,3.6,PEI,Gulf of St Lawrence,Cardigan,0.343,Christensen,79.6,0,20.4,4,4.1,5,PEI ,CAR,3457,81385.10969,8,1680.311839,1.696582247,Gulf of St.Lawrence,Seagrass
28,Cardigan,PEI-CAR-4-SG-4-20-26.2,PEI-CAR-4-SG-,20,26.2,23.4,30.7,1.457993588,7.3,PEI,Gulf of St Lawrence,Cardigan,0.144,Christensen,69.5,0,30.5,4,27.05,30,PEI ,CAR,3457,81385.10969,8,1680.311839,0.766909731,Gulf of St.Lawrence,Seagrass
29,Cardigan,PEI-CAR-4-SG-4-5-10,PEI-CAR-4-SG-,5,10,5.9,11.7,1.315861892,5.8,PEI,Gulf of St Lawrence,Cardigan,0.126,Christensen,82.5,0,17.5,4,8.8,10,PEI ,CAR,3457,81385.10969,8,1680.311839,1.186569048,Gulf of St.Lawrence,Seagrass
30,Cardigan,PEI-CAR-5-SG-5-0-2,PEI-CAR-5-SG-,0,2,0,2.4,1.281250014,2.4,PEI,Gulf of St Lawrence,Cardigan,0.321,Christensen,94.5,0,5.4,5,1.2,5,PEI ,CAR,3457,81385.10969,8,1680.311839,1.509104515,Gulf of St.Lawrence,Seagrass
31,Cardigan,PEI-CAR-5-SG-5-10-20,PEI-CAR-5-SG-,10,20,11.8,23.6,1.067787582,11.8,PEI,Gulf of St Lawrence,Cardigan,0.225,Christensen,75.8,0,24.1,5,17.7,20,PEI ,CAR,3457,81385.10969,8,1680.311839,1.263131566,Gulf of St.Lawrence,Seagrass
