"","Coast","Type","Site","Core.Number","CF_final","REI_Raw","Watercourse_NEAR_DIST.x","mean_mud"
"69","Pacific","SG","Parksville",1,0.695697647271404,5429.014022,37982.6795,0.271428571428571
"70","Pacific","SG","Parksville",2,0.51381094016188,5429.014022,37982.6795,0
"71","Pacific","SG","Parksville",3,0.575552644817146,5429.014022,37982.6795,0.14
"72","Pacific","SG","Sandy Island Exposed",1,0.714285714285714,24452.5404,32635.46911,0
"73","Pacific","SG","Sandy Island Exposed",3,0.795238095238096,24452.5404,32635.46911,1.66
"74","Pacific","SG","Sooke",1,0.550976800976801,6339.905435,31277.59156,12.48
"75","Pacific","SG","Sooke",2,0.42264073478091,6339.905435,31277.59156,5.375
"76","Pacific","SG","Sooke",3,0.302725136561995,6339.905435,31277.59156,8.75
"77","Pacific","SG","Sooke",4,0.307377693880762,6339.905435,31277.59156,6.675
"78","Pacific","SG","Sooke",5,0.375008218043413,6339.905435,31277.59156,6.875
"79","Pacific","SG","TFN Intercauseway",1,0.465659639208867,3767.029841,7931.438082,15.76
"80","Pacific","SG","TFN Intercauseway",2,0.62894076904705,3767.029841,7931.438082,11.3666666666667
"81","Pacific","SG","TFN Intercauseway",3,0.529107935322941,3767.029841,7931.438082,6.18
"82","Pacific","SG","Tsawwassen",1,0.500941423911538,3471.954224,8487.07946,21.8
"83","Pacific","SG","Tsawwassen",2,0.463769831991383,3471.954224,8487.07946,18
"84","Pacific","SG","Tsawwassen",3,0.437403088159939,3471.954224,8487.07946,19.04
