,Coast,Site,CoreName_2,Type,Watercourse_NEAR_DIST.x,Percent.Silt.Fraction,c_100,c_60,c_25,c_60_m2,c_100_m2,c_25_m2
34,Atlantic,Taylor's Head Deep,NS-THd-2-BA-2,BA,18665.01085,16.86,26.28548722,9.711115217,2.750604865,5451.415041,14755.57618,1544.074846
35,Atlantic,Taylor's Head Deep,NS-THd-3-BA-3,BA,18665.01085,14.775,18.06264471,7.873414742,2.529080094,4419.806643,10139.61536,1419.720079
36,Atlantic,Taylor's Head Deep,NS-THd-4-SG-4,SG,18665.01085,16.54,18.63959133,9.259999032,3.2964112,5198.17723,10463.48913,1850.467758
37,Gulf of St.Lawrence,Annandale,PEI-ANN-1-BA-,BA,89030.64851,7.683333333,5.860524952,2.855835137,1.001088006,1603.146732,3289.854271,561.9690521
38,Gulf of St.Lawrence,Annandale,PEI-ANN-2-BA-,BA,89030.64851,4.94,4.596287969,2.276973868,0.808739084,1278.198159,2580.164359,453.9923897
39,Gulf of St.Lawrence,Annandale,PEI-ANN-3-SG-,SG,89030.64851,8.58,5.513831149,3.093231852,1.216606936,1736.411346,3095.23483,682.95239
40,Gulf of St.Lawrence,Annandale,PEI-ANN-5-SG-,SG,89030.64851,8.78,5.35308886,2.904408499,1.110887274,1630.413791,3005.000814,623.6057815
41,Gulf of St.Lawrence,Cardigan,PEI-CAR-1-BA-,BA,81385.10969,16.475,1.014197005,0.986821889,0.781887694,553.9606488,569.3278975,438.9191393
42,Gulf of St.Lawrence,Cardigan,PEI-CAR-2-BA-,BA,81385.10969,21.78,0.810343645,0.76377745,0.551942103,428.7528041,454.8931236,309.8372756
43,Gulf of St.Lawrence,Cardigan,PEI-CAR-3-SG-,SG,81385.10969,18.36666667,0.898612331,0.863441745,0.656568249,484.7001824,504.4434826,368.5700301
44,Gulf of St.Lawrence,Cardigan,PEI-CAR-4-SG-,SG,81385.10969,18.36,1.217652999,1.187074355,0.947343949,666.3740313,683.5396063,531.7993802
45,Gulf of St.Lawrence,Cardigan,PEI-CAR-5-SG-,SG,81385.10969,15.04,1.20413607,1.178320618,0.954531222,661.4600483,675.9517665,535.8340155
46,Pacific,Airpark,BC-BOB-3-SG-3,SG,11002.10462,4.4,3.311740659,2.730005512,1.576294195,1532.511228,1859.073076,884.8658151
47,Pacific,Airpark,BC-BOB-4-SG-4,SG,11002.10462,4.166666667,3.010623405,2.185042504,1.089759683,1226.591726,1690.038409,611.7456332
48,Pacific,Cates Park,BC-CAP-1-SG-1,SG,11932.15437,4.86,9.018904228,5.39266986,2.240167339,3027.219936,5062.836663,1257.536509
49,Pacific,Centennial Beach,BC-CEB-1-SG-1,SG,8718.593092,2.06,4.815869018,3.217182175,1.478023701,1805.991887,2703.428001,829.7008587
50,Pacific,Centennial Beach,BC-CEB-2-BA-2,BA,8718.593092,0,4.198896536,2.096170499,0.749125547,1176.702689,2357.085383,420.5278367
51,Pacific,Crescent Beach,BC-CRB-1-SG-1,SG,13699.79929,0,0.943208243,0.766721536,0.434853398,430.4054912,529.4777671,244.1085604
52,Pacific,Crescent Beach,BC-CRB-2-BA-2,BA,13699.79929,0.333333333,0.897446863,0.735966798,0.422100576,413.1410639,503.789237,236.9496582
53,Pacific,Fulmore,BC-FUL-2-SG-2,SG,58527.17962,29.625,12.90381769,7.614950846,3.127416672,4274.715792,7243.665046,1755.601278
54,Pacific,Fulmore,BC-FUL-4-SG-4,SG,58527.17962,29.16666667,11.19869974,7.560430186,3.508480709,4244.110168,6286.482946,1969.514734
55,Pacific,Fulmore,BC-FUL-5-BA-5,BA,58527.17962,18.31666667,13.85436244,5.127078025,1.454043808,2878.127758,7777.26122,816.2395467
56,Pacific,Parksville,BC-PAR-1-SG-1,SG,37982.6795,0.271428571,1.183346289,0.864535713,0.434154089,485.3142901,664.2812502,243.7159976
57,Pacific,Parksville,BC-PAR-2-SG-2,SG,37982.6795,0,1.068435044,0.698730915,0.314650308,392.2383921,599.7748705,176.6315593
58,Pacific,Parksville,BC-PAR-3-SG-3,SG,37982.6795,0.14,1.264536763,0.861641133,0.403428059,483.6893936,709.8581958,226.4676856
59,Pacific,Parksville,BC-PAR-4-BA-4,BA,37982.6795,0,1.246389305,0.641405831,0.234910687,360.0584813,699.6709698,131.8690618
60,Pacific,Parksville,BC-PAR-5-BA-5,BA,37982.6795,0,1.177989388,0.644318938,0.248099961,361.6937778,661.2741094,139.2729701
61,Pacific,Roberts Bank North,BC-RBN-1-BA-1,BA,8436.399749,7.1,11.23087135,4.781339328,1.508180957,2684.044473,6304.542748,846.6298843
62,Pacific,Roberts Bank North,BC-RBN-2-BA-2,BA,8436.399749,54.6,20.71389903,15.3184352,7.792042699,8599.1306,11627.91895,4374.127772
63,Pacific,Roberts Bank North,BC-RBN-3-BA-3,BA,8436.399749,23.28,11.85422916,7.865810588,3.590671549,4415.537988,6654.46982,2015.653244
64,Pacific,Sandy Island Exposed,BC-SIE-1-SG-1,SG,32635.46911,0,0.800488883,0.609553905,0.320084127,342.1781383,449.3610715,179.6818786
65,Pacific,Sandy Island Exposed,BC-SIE-3-SG-3,SG,32635.46911,1.66,1.056335465,0.932615859,0.594294828,523.5316446,592.9826712,333.6123289
66,Pacific,Sandy Island Exposed,BC-SIE-4-BA-4,BA,32635.46911,0,0.555621927,0.42955407,0.229444755,241.1337386,311.9029754,128.8007155
67,Pacific,Sandy Island Exposed,BC-SIE-5-BA-5,BA,32635.46911,0,0.50904519,0.396801207,0.213964314,222.7476475,285.7567376,120.1106416
68,Pacific,Sooke,BC-SOO-1-SG-1,SG,31277.59156,12.48,3.643792893,3.144819472,1.934931175,1765.370484,2045.473351,1086.189657
69,Pacific,Sooke,BC-SOO-2-SG-2,SG,31277.59156,5.375,2.868245789,2.232868896,1.202190893,1253.439467,1610.113554,674.8598248
70,Pacific,Sooke,BC-SOO-3-SG-3,SG,31277.59156,8.75,3.790732645,2.411969554,1.059046007,1353.979107,2127.959199,594.5042562
71,Pacific,Sooke,BC-SOO-4-SG-4,SG,31277.59156,6.675,3.228259923,2.203680415,1.033590273,1237.054271,1812.210473,580.2144689
